#BoneName(Original),BoneName(Replace),Bone.hide(Pose)
センター,root,FALSE
左つま先ＩＫ,LeftFootTarget,FALSE
左足首,LeftFoot,FALSE
左足ＩＫ,LeftLegTarget,FALSE
左ひざ,LeftLeg,FALSE
左足,LeftUpLeg,FALSE
右つま先ＩＫ,RightFootTarget,FALSE
右足首,RightFoot,FALSE
右足ＩＫ,RightLegTarget,FALSE
右ひざ,RightLeg,FALSE
右足,RightUpLeg,FALSE
下半身,Lower,FALSE
上半身,Upper,FALSE
左肩,LeftShoulder,FALSE
左腕,LeftArm,FALSE
左腕捩,LeftArmPoleTarget,FALSE
左ひじ,LeftForeArm,FALSE
左手捩,LeftHandPoleTarget,FALSE
左手首,LeftHand,FALSE
左親指１,LeftHandThumb1,FALSE
左親指２,LeftHandThumb2,FALSE
左人指１,LeftHandIndex1,FALSE
左人指２,LeftHandIndex2,FALSE
左人指３,LeftHandIndex3,FALSE
左中指１,LeftHandMiddle1,FALSE
左中指２,LeftHandMiddle2,FALSE
左中指３,LeftHandMiddle3,FALSE
左薬指１,LeftHandRing1,FALSE
左薬指２,LeftHandRing2,FALSE
左薬指３,LeftHandRing3,FALSE
左小指１,LeftHandPinky1,FALSE
左小指２,LeftHandPinky2,FALSE
左小指３,LeftHandPinky3,FALSE
右肩,RightShoulder,FALSE
右腕,RightArm,FALSE
右腕捩,RightArmPoleTarget,FALSE
右ひじ,RightForeArm,FALSE
右手捩,RightHandPoleTarget,FALSE
右手首,RightHand,FALSE
右親指１,RightHandThumb1,FALSE
右親指２,RightHandThumb2,FALSE
右人指１,RightHandIndex1,FALSE
右人指２,RightHandIndex2,FALSE
右人指３,RightHandIndex3,FALSE
右中指１,RightHandMiddle1,FALSE
右中指２,RightHandMiddle2,FALSE
右中指３,RightHandMiddle3,FALSE
右薬指１,RightHandRing1,FALSE
右薬指２,RightHandRing2,FALSE
右薬指３,RightHandRing3,FALSE
右小指１,RightHandPinky1,FALSE
右小指２,RightHandPinky2,FALSE
右小指３,RightHandPinky3,FALSE
首,Neck,FALSE
頭,Head,FALSE
左目,LeftEye,FALSE
左目光,LeftEyeHighlight,FALSE
右目,RightEye,FALSE
右目光,RightEyeHighlight,FALSE
